date,tmax,tmin,tmid
1980/6/28,85,71,71
1981/6/28,95,69,69
1982/6/28,89,67,67
1983/6/28,85,63,63
1984/6/28,94,67,67
1985/6/28,89,72,72
1986/6/28,89,69,69
1987/6/28,79,66,66
1988/6/28,88,72,72
1989/6/28,94,70,70
1990/6/28,85,67,67
1991/6/28,84,69,69
1992/6/28,85,69,69
1993/6/28,71,65,65
1994/6/28,94,76,76
1995/6/28,91,69,69
1996/6/28,73,68,68
1997/6/28,92,71,71
1998/6/28,99,76,76
1999/6/28,95,72,72
2000/6/28,89,72,72
2001/6/28,84,72,72
2002/6/28,79,66,66
2003/6/28,87,65,65
2004/6/28,90,76,76
2005/6/28,89,69,69
2006/6/28,89,73,73
2007/6/28,86,69,69
2008/6/28,79,66,66
2009/6/28,96,74,74
2010/6/28,88,74,74
2011/6/28,92,72,72
2012/6/28,78,69,69
